,80516,80416,80316,80216,80116,73116,73016,72916,72816,72716,72616,72516,72416,72316,72216,72116,72016,71916,71816,71716,71616,71516,71416,71316,71216,71116,71016,70916,70816,70716,70616,70516,70416,70316,70216,70116,63016,62916,62816,62716,62616,62516,62416,62316,62216,62116,62016,61916,61816
knights & dragons,433237,-1,433185,433142,-1,-1,-1,432909,432851,-1,432757,432713,-1,-1,432525,432428,432383,432329,432257,-1,-1,432062,-1,431941,431882,431813,-1,-1,431541,-1,431546,431462,431403,431390,431281,-1,-1,-1,431012,430965,-1,-1,430752,430687,430619,430578,430516,-1,430430
marvel puzzle questmatch 3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238739,238669,-1,-1,238157,-1,237639,237542,237452,237414,237282,-1,-1,-1,236962,236904,-1,-1,236505,236388,236247,235886,235652,-1,235543
covet fashion,299331,-1,298561,298248,-1,-1,-1,295963,295526,-1,294577,294221,-1,-1,292800,292359,291954,291612,291161,-1,-1,289847,-1,288897,288378,287843,-1,-1,286230,-1,285270,284716,284002,283794,282655,-1,-1,-1,280389,280009,-1,-1,278135,277687,277302,276928,276525,-1,275821
the sims freeplay,774484,-1,773912,773539,-1,-1,-1,771925,771491,-1,770546,770153,-1,-1,769000,768638,768236,767987,767512,-1,-1,766514,-1,765737,765207,764771,-1,-1,763385,-1,762550,762023,761527,761444,760694,-1,-1,-1,758892,758547,-1,-1,757354,756976,756630,756223,755839,-1,755324
8 ball pool,7203708,-1,7192829,7186473,-1,-1,-1,7159951,7153030,-1,7140092,7133163,-1,-1,7112039,7104360,7096770,7090699,7081861,-1,-1,7052460,-1,7034856,7023683,7014260,-1,-1,6995030,-1,6983558,6976873,6969628,6966567,6956174,-1,-1,-1,6924736,6919662,-1,-1,6894908,6888829,6882188,6876915,6868848,-1,6859329
bubble witch 2 saga,2489219,-1,2487637,2486717,-1,-1,-1,2483189,2482368,-1,2480490,2479533,-1,-1,2476481,2475413,2474399,2473543,2472517,-1,-1,2469830,-1,2467660,2466520,2465446,-1,-1,2461942,-1,2459977,2459015,2457944,2457551,2456103,-1,-1,-1,2451361,2450669,-1,-1,2446733,2445757,2444693,2443602,2442663,-1,2441348
zynga pokertexas holdem,1196836,-1,1195480,1194989,-1,-1,-1,1192040,1191379,-1,1189820,1189179,-1,-1,1186654,1185868,1185007,1184343,1183482,-1,-1,1181377,-1,1179892,1178992,1178284,-1,-1,1176123,-1,1174828,1174082,1173242,1173063,1172083,-1,-1,-1,1169100,1168493,-1,-1,1166131,1165452,1164694,1163973,1163207,-1,1162067
dominations,466576,-1,466099,465880,-1,-1,-1,464885,464683,-1,464224,464048,-1,-1,463201,462821,462318,462091,461554,-1,-1,460137,-1,458781,458489,458334,-1,-1,457835,-1,457628,457474,457312,457278,457032,-1,-1,-1,456371,456253,-1,-1,455744,455617,455453,455308,455153,-1,454945
goldfish slots! fruit machines,169550,-1,168940,168762,-1,-1,-1,167598,167051,-1,166453,166293,-1,-1,165622,165429,165210,165022,164793,-1,-1,164088,-1,163624,163337,163049,-1,-1,161878,-1,161266,160934,160713,160578,160242,-1,-1,-1,159164,158750,-1,-1,157522,157193,156875,156477,156116,-1,155758
family guy the quest for stuff,926353,-1,925949,925748,-1,-1,-1,924884,924609,-1,924025,923726,-1,-1,922727,921923,921639,921452,921209,-1,-1,920509,-1,920035,919830,919655,-1,-1,918870,-1,918649,918495,918321,918231,917947,-1,-1,-1,917141,917039,-1,-1,916409,916275,916139,916028,915891,-1,915665
league of angels -fire raiders,206122,-1,205940,205822,-1,-1,-1,205155,205020,-1,204674,204515,-1,-1,203944,203713,203514,203374,203157,-1,-1,202547,-1,202118,201879,201717,-1,-1,200963,-1,200637,200422,200196,200122,199802,-1,-1,-1,198887,198710,-1,-1,198057,197888,197710,197495,197271,-1,196977
transformers,76240,-1,75616,75092,-1,-1,-1,73469,73135,-1,72490,72215,-1,-1,70922,70434,69994,69602,69118,-1,-1,67102,-1,65923,65164,64581,-1,-1,62091,-1,60945,60331,59728,59499,58075,-1,-1,-1,54271,53331,-1,-1,49098,48002,46839,45476,44037,-1,41425
brave frontier,665483,-1,665312,665232,-1,-1,-1,664823,664528,-1,664407,664343,-1,-1,664061,663923,663732,663602,663466,-1,-1,663197,-1,663008,662917,662793,-1,-1,662143,-1,661976,661879,661756,661678,661475,-1,-1,-1,661003,660912,-1,-1,660188,660111,660047,659940,659866,-1,659723
